id,Category,Sub-Category,Material Section,material name,material variant name,GWP,units,locations,density
1,Basic Materials,Concrete,Concrete,10 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.266,m3,United States or  Canada,
2,Basic Materials,Concrete,Concrete,10 Mpa Concrete,Typical OPC,0.165,m3,Australia,
3,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Envirocrete 30% EPD,0.237,m3,Australia,
4,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Envirocrete 40% EPD,0.219,m3,Australia,
5,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Envirocrete Plus EPD,0.214,m3,Australia,
6,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral ENVISIA EPD,0.204,m3,Australia,
7,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Normal GP/GGBFS blend EPD,0.22,m3,Australia,
8,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Normal GP/GGBFS/FA blend EPD,0.187,m3,Australia,
9,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim ECOPact EPD,0.168,m3,Australia,
10,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim ECOPact Zero EPD,0.028,m3,Australia,
11,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim FlyAsh Blend EPD,0.248,m3,Australia,
12,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim Slag Blend EPD,0.199,m3,Australia,
13,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim Triple Blend EPD,0.18,m3,Australia,
14,Basic Materials,Concrete,Concrete,20 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.291,m3,United States or  Canada,
15,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Normal GP Blend EPD,0.299,m3,Australia,
16,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Boral Normal GP/FA blend EPD,0.237,m3,Australia,
17,Basic Materials,Concrete,Concrete,20 Mpa Concrete,Holcim General Blend EPD,0.301,m3,Australia,
18,Basic Materials,Concrete,Concrete,25 Mpa Concrete,100% Geopolymer,0.094,m3,Australia,
19,Basic Materials,Concrete,Concrete,25 Mpa Concrete,100% Geopolymer,0.102,m3,Europe,
20,Basic Materials,Concrete,Concrete,25 Mpa Concrete,100% Geopolymer,0.102,m3,United Kingdom,
21,Basic Materials,Concrete,Concrete,25 Mpa Concrete,100% Geopolymer,0.125,m3,United States or  Canada,
22,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Generic OPC,0.406,m3,Australia,
23,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Generic OPC,0.319,m3,Europe,
24,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Generic OPC,0.35,m3,United Kingdom,
25,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Generic OPC,0.417,m3,United States or  Canada,
26,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim ECOPact EPD,0.181,m3,Australia,
27,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim ECOPact Zero EPD,0.028,m3,Australia,
28,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim Triple Blend EPD,0.182,m3,Australia,
29,Basic Materials,Concrete,Concrete,25 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.343,m3,United States or  Canada,
30,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral ENVISIA EPD,0.212,m3,Australia,
31,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Envriocrete 30% EPD,0.258,m3,Australia,
32,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Envriocrete 40% EPD,0.237,m3,Australia,
33,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Envriocrete Plus EPD,0.23,m3,Australia,
34,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Normal GP Blend EPD,0.316,m3,Australia,
35,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Normal GP/FA Blend EPD,0.258,m3,Australia,
36,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Normal GP/GGBFS Blend EPD,0.232,m3,Australia,
37,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Boral Normal GP/GGBFS/FA Blend EPD,0.203,m3,Australia,
38,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim FlyAsh Blend EPD,0.269,m3,Australia,
39,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim General Blend EPD,0.325,m3,Australia,
40,Basic Materials,Concrete,Concrete,25 Mpa Concrete,Holcim Slag Blend EPD,0.213,m3,Australia,
41,Basic Materials,Formwork,Plastic,3 Micron Plastic Roll Membrane or Similar,Recycled 60%,0.024,m2,Australia,
42,Basic Materials,Formwork,Plastic,3 Micron Plastic Roll Membrane or Similar,Virgin,0.04,m2,Australia,
43,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Generic OPC,0.373,m3,Europe,
44,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim ECOPact EPD,0.198,m3,Australia,
45,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim ECOPact Zero EPD,0.028,m3,Australia,
46,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim FlyAsh Blend EPD,0.301,m3,Australia,
47,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim General Blend EPD,0.371,m3,Australia,
48,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim Slag Blend EPD,0.224,m3,Australia,
49,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Holcim Triple Blend EPD,0.204,m3,Australia,
50,Basic Materials,Concrete,Concrete,32 Mpa Concrete,"Ready Mix Concrete, CLF 2021 (A1-A3)",0.406,m3,United States or  Canada,
51,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 50% Fly Ash,0.221,m3,Europe,
52,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 50% Fly Ash,0.242,m3,United Kingdom,
53,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Generic OPC,0.481,m3,Australia,
54,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Generic OPC,0.411,m3,United Kingdom,
55,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 0-20% Fly Ash,0.397,m3,Australia,
56,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 0-20% Fly Ash,0.343,m3,United Kingdom,
57,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 50% Fly Ash,0.273,m3,Australia,
58,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 20% GGBFS,0.404,m3,Australia,
59,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 20% GGBFS,0.349,m3,United Kingdom,
60,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With up to 20% GGBFS,0.42,m3,United States or  Canada,
61,Basic Materials,Concrete,Concrete,32 Mpa Concrete,Generic OPC,0.488,m3,United States or  Canada,
62,Basic Materials,Concrete,Concrete,32 Mpa Concrete,With 0-20% Fly Ash,0.312,m3,Europe,
